METAZOA	SPECIES_NAME	NO._INTRONS	3n	3n+1	3n+2	EXCESS_3n	EXCESS_3n+1
1	acromyrmex echinatior	66376	0.334	0.335	0.331	0.001	0.004
2	acropora digitifera	112444	0.333	0.334	0.333	-0.001	0.001
3	acyrthosiphon pisum	64690	0.337	0.329	0.333	0.006	-0.004
4	adineta vaga	202176	0.348	0.326	0.326	0.022	0
5	aedes aegypti	30574	0.352	0.323	0.325	0.028	-0.002
6	ailuropoda melanoleuca	167370	0.334	0.333	0.333	0.001	0
7	alligator mississippiensis	160749	0.333	0.333	0.334	-0.001	-0.001
8	alligator sinensis	167329	0.333	0.333	0.334	-0.001	-0.001
9	amphimedon queenslandica	133732	0.334	0.332	0.334	0.001	-0.002
10	anas platyrhynchos	160904	0.335	0.334	0.331	0.003	0.003
11	anolis carolinensis	156149	0.34	0.329	0.331	0.01	-0.002
12	anopheles darlingi	35801	0.317	0.343	0.34	-0.025	0.003
13	anopheles gambiae	36242	0.382	0.307	0.312	0.073	-0.005
14	apis mellifera	52568	0.342	0.327	0.331	0.013	-0.004
15	aptenodytes forsteri	144560	0.332	0.334	0.334	-0.002	0
16	aquila chrysaetos	155655	0.33	0.333	0.337	-0.005	-0.004
17	ascaris suum	99942	0.332	0.335	0.333	-0.002	0.002
18	astatotilapia burtoni	212758	0.333	0.332	0.335	-0.001	-0.003
19	astyanax mexicanus	191043	0.331	0.334	0.335	-0.004	-0.001
20	athalia rosae	64494	0.334	0.333	0.333	0.001	0
21	atta cephalotes	62070	0.333	0.334	0.333	-0.001	0.001
22	balaenoptera acutorostrata	146769	0.333	0.333	0.334	-0.001	-0.001
23	belgica antarctica	38566	0.321	0.34	0.339	-0.019	0.001
24	biomphalaria glabrata	71736	0.337	0.331	0.331	0.006	0
25	bombus terrestris	49907	0.339	0.33	0.331	0.009	-0.001
26	bombyx mori	63816	0.329	0.338	0.333	-0.007	0.005
27	bos grunniens	161373	0.335	0.332	0.333	0.003	-0.001
28	bos taurus	169348	0.335	0.334	0.33	0.003	0.004
29	branchiostoma floridae	171052	0.336	0.331	0.333	0.004	-0.002
30	brugia malayi	81835	0.334	0.334	0.332	0.001	0.002
31	caenorhabditis briggsae	89785	0.332	0.334	0.334	-0.002	0
32	caenorhabditis elegans	104966	0.331	0.335	0.334	-0.004	0.001
33	callithrix jacchus	178151	0.336	0.333	0.331	0.004	0.002
34	calycopis cecrops	84003	0.341	0.331	0.328	0.012	0.003
35	calypte anna	140950	0.331	0.334	0.335	-0.004	-0.001
36	camelus ferus	164948	0.332	0.334	0.335	-0.003	-0.001
37	camponotus floridanus	63034	0.339	0.329	0.332	0.009	-0.003
38	canis familiaris	169542	0.332	0.333	0.335	-0.002	-0.002
39	capitella teleta	137952	0.324	0.336	0.341	-0.015	-0.005
40	capra hircus	156590	0.333	0.33	0.337	-0.001	-0.007
41	cavia porcellus	163048	0.344	0.326	0.33	0.016	-0.004
42	cerapachys biroi	66277	0.333	0.332	0.335	-0.001	-0.003
43	ceratitis capitata	49039	0.333	0.336	0.331	-0.001	0.005
44	ceratosolen solmsi	56953	0.34	0.333	0.328	0.01	0.005
45	chaetura pelagica	138979	0.332	0.335	0.333	-0.002	0.002
46	charadrius vociferus	141874	0.331	0.334	0.335	-0.004	-0.001
47	chelonia mydas	138493	0.332	0.333	0.335	-0.002	-0.002
48	chilo suppressalis	26196	0.333	0.328	0.339	-0.001	-0.011
49	chrysemys picta	182394	0.334	0.335	0.331	0.001	0.004
50	ciona intestinalis	89243	0.34	0.331	0.33	0.01	0.001
51	ciona savignyi	77060	0.338	0.333	0.33	0.007	0.003
52	clonorchis sinensis	79765	0.332	0.332	0.336	-0.002	-0.004
53	columba livia	143077	0.333	0.333	0.334	-0.001	-0.001
54	corvus brachyrhynchos	143017	0.332	0.337	0.331	-0.002	0.006
55	crassostrea gigas	159104	0.333	0.334	0.333	-0.001	0.001
56	crocodylus porosus	115685	0.34	0.328	0.332	0.01	-0.004
