METAZOA	SPECIES_NAME	A(%)_GENOME	T(%)_GENOME	G(%)_GENOME	C(%)_GENOME	N-Xs(%)_GENOME
1	acromyrmex echinatior	32.35	32.36	16.41	16.4	2.49
2	acropora digitifera	24.39	24.48	15.65	15.61	19.87
3	acyrthosiphon pisum	33.62	33.61	14.16	14.17	4.45
4	adineta vaga	33.91	33.91	15.12	15.11	1.95
5	aedes aegypti	29.87	29.87	18.43	18.42	3.4
6	ailuropoda melanoleuca	28.53	28.49	20.3	20.32	2.36
7	alligator mississippiensis	27.22	27.25	21.72	21.71	2.09
8	alligator sinensis	26.87	26.88	21.54	21.54	3.17
9	amphimedon queenslandica	27.88	27.89	15.57	15.56	13.1
10	anas platyrhynchos	28.58	28.55	19.83	19.86	3.18
11	anolis carolinensis	28.22	28.22	19.07	19.06	5.44
12	anopheles darlingi	25.8	25.81	24.18	24.21	0
13	anopheles gambiae	26.81	26.8	21.42	21.4	3.56
14	apis mellifera	30.03	30	15.44	15.46	9.06
15	aptenodytes forsteri	27.53	27.51	19.61	19.63	5.72
16	aquila chrysaetos	28.78	28.78	20.68	20.69	1.07
17	ascaris suum	30.14	30.19	18.49	18.45	2.73
18	astatotilapia burtoni	25.02	25	17.02	17.04	15.93
19	astyanax mexicanus	25.15	25.14	15.33	15.33	19.06
20	athalia rosae	28.15	28.14	19.73	19.71	4.28
21	atta cephalotes	29.81	29.85	14.41	14.41	11.51
22	balaenoptera acutorostrata	27.8	27.77	19.25	19.25	5.93
23	belgica antarctica	30.33	30.32	19.29	19.29	0.77
24	biomphalaria glabrata	31.42	31.37	17.68	17.62	1.91
25	bombus terrestris	29.73	29.71	17.97	17.95	4.63
26	bombyx mori	27.97	28	16.91	16.93	10.2
27	bos grunniens	27.82	27.83	19.9	19.91	4.54
28	bos taurus	28.83	28.89	20.76	20.74	0.78
29	branchiostoma floridae	27.06	27.07	18.96	18.96	7.95
30	brugia malayi	32.28	32.32	13.59	13.57	8.24
31	caenorhabditis briggsae	30.44	30.47	18.16	18.16	2.78
32	caenorhabditis elegans	32.28	32.28	17.71	17.73	0
33	callithrix jacchus	27.9	27.95	19.29	19.28	5.57
34	calycopis cecrops	29.73	29.74	17.54	17.53	5.46
35	calypte anna	28.47	28.43	19.79	19.81	3.5
36	camelus ferus	29.01	29.02	20.4	20.39	1.18
37	camponotus floridanus	31.71	31.73	16.51	16.51	3.54
38	canis familiaris	29.13	29.12	20.5	20.5	0.76
39	capitella teleta	24.75	24.73	16.77	16.76	16.99
40	capra hircus	27.56	27.62	19.79	19.78	5.25
41	cavia porcellus	29.36	29.37	19.54	19.53	2.2
42	cerapachys biroi	28.17	28.19	20.13	20.14	3.36
43	ceratitis capitata	29.38	29.42	16.05	16.06	9.09
44	ceratosolen solmsi	34.68	34.64	15.11	15.11	0.46
45	chaetura pelagica	28.11	28.14	19.87	19.85	4.03
46	charadrius vociferus	28.26	28.26	20.36	20.35	2.78
47	chelonia mydas	27.01	27.01	20.82	20.83	4.33
48	chilo suppressalis	28.12	28.12	15.63	15.64	12.49
49	chrysemys picta	25.64	25.63	20.31	20.29	8.14
50	ciona intestinalis	31.29	31.32	17.37	17.35	2.66
51	ciona savignyi	31.15	31.13	17.94	17.94	1.83
52	clonorchis sinensis	27.97	27.96	22.02	22.02	0.03
53	columba livia	28.71	28.71	20.35	20.33	1.9
54	corvus brachyrhynchos	27.99	28.06	20.19	20.14	3.62
55	crassostrea gigas	29.36	29.35	14.74	14.74	11.81
56	crocodylus porosus	27.42	27.41	21.75	21.76	1.66
57	cuculus canorus	28.57	28.53	20.25	20.27	2.38
58	culex pipiens	29.18	29.17	17.45	17.44	6.75
59	cynoglossus semilaevis	28.06	28.08	19.36	19.35	5.14
60	danaus plexippus	34.1	34.11	15.8	15.78	0.21
61	danio rerio	31.59	31.58	18.32	18.32	0.19
62	daphnia pulex	23.82	23.81	16.38	16.4	19.58
63	dendroctonus ponderosae	25.57	25.58	14.33	14.33	20.18
64	diaphorina citri	29.72	29.75	18.25	18.29	3.98
65	drosophila melanogaster	28.06	28	20.07	20.09	3.77
66	egretta garzetta	27.71	27.71	20.27	20.27	4.04
67	equus caballus	28.69	28.72	20.37	20.35	1.86
68	esox lucius	27.35	27.36	19.57	19.56	6.17
69	falco cherrug	28.58	28.51	20.42	20.47	2.02
70	falco peregrinus	28.64	28.66	20.57	20.55	1.58
71	felis catus	28.06	28.08	20.08	20.07	3.72
72	ficedula albicollis	27.49	27.49	21.92	21.67	1.43
73	fopius arisanus	28.16	28.18	17.71	17.71	8.24
74	gadus morhua	20	19.78	16.7	16.59	26.93
75	gallus gallus	28.68	28.7	20.63	20.64	1.34
76	gasterosteus aculeatus	26.8	26.82	21.57	21.58	3.23
77	gavialis gangeticus	20.64	20.64	16.48	16.47	25.77
78	geospiza fortis	28.55	28.53	20.32	20.34	2.25
79	glossina morsitans	32.66	32.66	16.93	16.91	0.84
80	gorilla gorilla	27.6	27.73	18.8	18.91	6.97
81	haliaeetus leucocephalus	28.69	28.69	20.49	20.5	1.63
82	harpegnathos saltator	26.33	26.31	21.69	21.66	4.01
83	heliconius melpomene	33.08	33.07	16.17	16.17	1.51
84	helobdella robusta	30.76	30.73	15.03	15.01	8.47
85	homo sapiens	27.27	27.31	18.89	18.88	7.64
86	hydra magnipapillata	33.38	33.38	12.71	12.71	7.82
87	ictidomys tridecemlineatus	28.03	28.01	18.59	18.62	6.75
88	ixodes scapularis	21.55	21.54	17.77	17.79	21.35
89	larimichthys crocea	28.1	28.11	19.62	19.62	4.55
90	latimeria chalumnae	22.46	22.46	15.71	15.71	23.67
91	lerema accius	31.84	31.87	16.71	16.71	2.88
92	linepithema humile	30.26	30.23	18.26	18.28	2.97
93	lingula anatina	30.48	30.49	17.47	17.45	4.11
94	lipotes vexillifer	28.98	28.95	20.38	20.37	1.33
95	loa loa	34.64	34.4	15.46	15.5	0
96	locusta migratoria	24.96	24.96	17.12	17.12	15.84
97	lottia gigantea	27.73	27.74	13.83	13.83	16.86
98	loxodonta africana	28.89	28.9	19.88	19.89	2.45
99	lucilia cuprina	28.74	28.73	11.87	11.87	18.79
100	lutzomyia longipalpis	30.08	30.08	16.2	16.21	7.43
101	macaca fascicularis	24.93	24.94	17.03	17.03	16.07
102	macaca mulatta	27.4	27.41	18.94	18.94	7.31
103	macropus eugenii	26.28	26.34	16.67	16.71	14.01
104	manacus vitellinus	28.74	28.74	19.96	19.95	2.6
105	manduca sexta	30.89	30.92	16.84	16.82	4.52
106	mayetiola destructor	27.6	27.49	13.69	13.65	17.56
107	megachile rotundata	30.92	30.95	17.82	17.84	2.47
108	megaselia scalaris	20.63	20.62	10.54	10.28	37.94
109	meleagris gallopavo	26.2	26.23	17.87	17.85	11.85
110	melitaea cinxia	31.21	31.22	15.08	15.08	7.42
111	melopsittacus undulatus	28.58	28.56	20.05	20.06	2.75
112	metaseiulus occidentalis	24.15	24.14	25.72	25.73	0.26
113	metriaclima zebra	24.98	24.96	17.01	17.03	16.02
114	microcebus murinus	18.63	18.63	13.2	13.2	36.35
115	microplitis demolitor	31.17	31.17	13.64	13.63	10.4
116	mnemiopsis leidyi	29.47	29.5	18.74	18.75	3.55
117	monodelphis domestica	30.19	30.2	18.37	18.37	2.88
118	mus musculus	28.32	28.35	20.24	20.24	2.86
119	musca domestica	29.9	29.91	16.18	16.19	7.82
120	myotis brandtii	27	27	20.11	20.11	5.77
121	myotis davidii	26.13	26.11	19.49	19.5	8.76
122	myotis lucifugus	27.79	27.78	20.54	20.54	3.35
123	nanorana parkeri	27.62	27.59	20.46	20.48	3.86
124	nasonia vitripennis	25.01	25.03	19.11	19.1	11.75
125	nematostella vectensis	24.74	24.77	16.94	16.95	16.61
126	neolamprologus brichardi	24.14	24.04	16.33	16.39	19.1
127	nilaparvata lugens	15.91	15.91	8.35	8.34	51.49
128	nipponia nippon	28.24	28.29	20.35	20.3	2.81
129	notothenia coriiceps	29.08	29.06	19.89	19.88	2.09
130	octopus bimaculoides	27.22	27.06	15.29	15.29	15.13
131	oikopleura dioica	28.41	28.45	18.79	18.76	5.59
132	operophtera brumata	30.03	30.03	18.91	18.91	2.12
133	ophiophagus hannah	26.21	26.12	17.11	17.07	13.5
134	ophisaurus gracilis	27.32	27.33	21.21	21.22	2.92
135	opisthocomus hoazin	27.32	27.32	20.12	20.13	5.11
136	orcinus orca	27.8	27.8	19.6	19.6	5.2
137	oreochromis niloticus	26.2	26.21	17.77	17.78	12.04
138	ornithorhynchus anatinus	25.19	25.22	21.01	21.07	7.5
139	oryctolagus cuniculus	26.72	26.79	20.82	20.8	4.88
140	oryzias latipes	23.99	23.99	16.3	16.31	19.4
141	ovis aries	27.23	27.28	19.43	19.42	6.63
142	pan troglodytes	25.96	26	17.87	17.86	12.3
143	panthera tigris	28.6	28.58	20.18	20.21	2.44
144	papilio glaucus	31.13	31.13	17.05	17.05	3.63
145	papilio polytes	31.75	31.75	16.33	16.32	3.85
146	papilio xuthus	32.29	32.29	16.5	16.49	2.44
147	pediculus humanus	35.43	35.52	13.46	13.41	2.18
148	pelodiscus sinensis	26.58	26.6	21.25	21.23	4.35
149	petromyzon marinus	19.78	19.8	16.76	16.76	26.9
150	phlebotomus papatasi	31.54	31.5	15.97	15.93	5.05
151	phoebis sennae	32.43	32.44	15.96	15.94	3.23
152	picoides pubescens	26.72	26.71	21.42	21.43	3.72
153	pinctada fucata	30.27	30.32	16.35	16.36	6.71
154	plutella xylostella	26.4	26.39	16.42	16.41	14.38
155	poecilia formosa	29.01	29.01	18.66	18.68	4.64
156	pogona vitticeps	27.95	27.98	20.15	20.14	3.78
157	pogonomyrmex barbatus	29.68	29.7	17.06	17.06	6.49
158	pongo abelii	26.6	26.63	18.27	18.26	10.25
159	pristionchus pacificus	24.62	24.62	18.38	18.36	14.02
160	pseudopoces humilis	28.74	28.83	20.61	20.57	1.25
161	pteropus alecto	29.45	29.47	19.51	19.52	2.04
162	ptychodera flava	28.62	28.65	17.2	17.2	8.33
163	pundamilia nyererei	25.04	24.95	17.07	17.11	15.83
164	pygoscelis adeliae	27.96	27.92	19.82	19.85	4.45
165	python molurus	29.14	29.13	19.1	19.11	3.52
166	rattus norvegicus	25.67	25.67	18.54	18.54	11.58
167	rhodnius prolixus	26.4	26.39	13.55	13.57	20.09
168	saccoglossus kowalevskii	31.05	31.06	17.43	17.41	3.05
169	sarcophilus harrisii	29.52	29.53	16.64	16.64	7.66
170	sarcoptes scabiei	33.62	33.09	16.64	16.61	0.05
171	schistosoma mansoni	32.2	32.23	17.51	17.5	0.56
172	serinus canaria	28.17	28.13	20.8	20.74	2.16
173	solenopsis invicta	28.18	28.27	15.93	15.92	11.7
174	stegodyphus mimosarum	32.64	32.65	16.54	16.54	1.63
175	strigamia maritima	31.74	31.66	17.55	17.57	1.48
176	strongylocentrotus purpuratus	27.79	27.85	16.33	16.37	11.67
177	strongyloides ratti	39.09	39.02	10.65	10.65	0.59
178	struthio camelus	28.52	28.5	19.85	19.85	3.29
179	sus scrofa	26.13	26.16	18.7	18.7	10.31
180	taeniopygia guttata	29.11	29.12	20.49	20.48	0.81
181	takifugu rubripes	24.34	24.36	20.3	20.3	10.7
182	tetranychus urticae	33.42	33.42	15.9	15.92	1.34
183	tetraodon nigroviridis	22.6	22.59	19.55	19.55	15.7
184	thelohanellus kitauei	28.08	28.06	12.75	12.75	18.36
185	tinamus guttatus	28.7	28.66	20.25	20.27	2.12
186	tribolium castaneum	21.89	21.87	11.2	11.2	33.84
187	trichinella spiralis	30.5	30.4	15.59	15.66	7.85
188	trichoplax adhaerens	30.13	30.2	14.7	14.67	10.3
189	tupaia chinensis	27.68	27.69	19.83	19.82	4.97
190	vollenhovia emeryi	26.96	27.02	19.69	19.68	6.65
191	wasmannia auropunctata	27.07	26.99	17.05	17.02	11.86
192	xenopus laevis	26.66	26.51	16.98	16.97	12.87
193	xenopus tropicalis	26.93	26.92	18	18	10.15
194	xiphophorus maculatus	27.45	27.34	17.34	17.34	10.53
195	zonotrichia albicollis	27.93	27.97	19.86	19.84	4.4
196	zootermopsis nevadensis	29.58	29.6	18.28	18.26	4.28
						
VIRIDIPLANTAE	SPECIES_NAME	A(%)_GENOME	T(%)_GENOME	G(%)_GENOME	C(%)_GENOME	N-Xs(%)_GENOME
1	actinidia chinensis	31.07	30.95	16.84	16.84	4.3
2	aegilops tauschii	21.97	21.94	18.66	18.66	18.77
3	aethionema arabicum	27.5	27.38	14.11	14.12	16.88
4	amborella trichopoda	29.53	29.62	17.73	17.72	5.4
5	aquilegia coerulea	30.6	30.62	17.92	17.91	2.95
6	arabidopsis lyrata	28.41	28.42	16.04	16.05	11.08
7	arabidopsis thaliana	31.95	31.92	17.98	17.99	0.16
8	asterochloris sp	21.01	20.93	28.71	28.65	0.69
9	bathycoccus prasinos	25.92	25.94	23.99	24.03	0.13
10	beta vulgaris	27.55	27.59	15.64	15.62	13.61
11	brachypodium distachyon	26.68	26.69	23.1	23.11	0.42
12	brassica rapa	31.14	31.15	16.96	16.97	3.78
13	cajanus cajan	31.69	31.67	15.48	15.48	5.68
14	camelina sativa	29.51	29.48	16.99	17	7.02
15	capsella rubella	31.04	31.06	17.19	17.19	3.53
16	capsicum annuum	31.51	31.49	16.99	16.97	3.04
17	carica papaya	23.22	23.22	12.46	12.46	28.64
18	chlamydomonas reinhardtii	17.3	17.31	30.86	30.88	3.65
19	chlorella variabilis	15.04	15.01	30.68	30.72	8.55
20	cicer arietinum	31.28	31.27	14.07	14.08	9.3
21	citrullus lanatus	30.36	30.36	14.88	14.87	9.54
22	citrus clementina	32	32.01	16.85	16.86	2.29
23	citrus sinensis	25.91	25.8	13.68	13.71	20.9
24	coccomyxa subellipsoidea	23.54	23.53	26.47	26.46	0
25	coffea canephora	26.18	26.21	15.16	15.15	17.3
26	cucumis melo	29.88	29.94	14.85	14.85	10.49
27	cucumis sativus	32.1	32.02	15.3	15.28	5.3
28	elaeis guineensis	21.62	21.61	12.81	12.81	31.14
29	eucalyptus grandis	28.14	28.13	18.2	18.2	7.33
30	fragaria vesca	28.71	28.7	17.85	17.87	6.87
31	genlisea aurea	29.69	29.7	20.33	20.28	0
32	glycine max	32.01	32.01	17.05	17.05	1.88
33	gossypium raimondii	32.81	32.81	16.32	16.32	1.75
34	helicosporidium sp	19.24	19.08	30.83	30.86	0
35	hordeum vulgare	4.1	4.1	3.47	3.46	84.87
36	jatropha curcas	32.91	32.82	16.73	16.74	0.81
37	leavenworthia alabamica	29.15	29.1	14.7	14.75	12.3
38	linum usitatissimum	28.71	28.68	18.78	18.78	5.05
39	lotus japonicus	21.02	21.01	12.32	12.33	33.32
40	malus domestica	19.74	19.74	11.96	11.97	36.6
41	manihot esculenta	25.45	25.45	13.86	13.91	21.33
42	medicago truncatula	29.04	28.97	14.77	14.77	12.44
43	micromonas pusilla	16.89	16.85	32.65	32.65	0.95
44	micromonas spRCC299	17.99	18.04	32.02	31.95	0
45	mimulus guttatus	30.2	30.09	16.58	16.59	6.55
46	musa acuminata	25.25	25.22	16.03	16.06	17.44
47	nelumbo nucifera	27.13	27.14	16.84	16.85	12.05
48	nicotiana tabacum	29.57	29.54	18.87	18.91	3.11
49	oryza brachyantha	27.76	27.75	18.89	18.88	6.72
50	oryza glaberrima	27.41	27.38	20.55	20.52	4.14
51	oryza indica	27.16	27.18	20.9	20.93	3.83
52	oryza sativa	28.21	28.21	21.78	21.77	0.03
53	ostreococcus lucimarinus	19.81	19.75	30.24	30.2	0
54	ostreococcus sp	20.01	20.04	29.76	29.81	0.38
55	ostreococcus tauri	20.33	20.36	29.53	29.52	0.27
56	panicum virgatum	26.57	26.97	23.26	23.19	0
57	phalaenopsis equestris	30.27	30.27	15.93	15.93	7.6
